# Title: Modeling the JWST MIRI Counts, Insights Into the Source Properties and Role of Dust-Obscured AGN
# Authors: Edgar P. Vidal, Anna Sajina, Amber R. Banks, Matthieu Bethermin,
#          Carl Ferkinhoff, Andreea Petric, Alexandra Pope, Jianwei Lyu,
#          Vivian U, L. Y. Aaron Yung, Pallavi Patil
# Table: AGN + Composite Total Integral Number Counts Figure 11
# ==============================================================================
# Byte-by-byte Description of file: Vidal_2025_total_AGN_counts.txt
# ------------------------------------------------------------------------------
#   Bytes Format Units   Label         Explanations
# ------------------------------------------------------------------------------
#   1- 21  F20.6    uJy     flux_uJy      Flux density bin center
#  23- 31  F8.6     1 / deg2 N_F560W       N(>S) for F560W
#  33- 51  F18.6    1 / deg2 e_F560W       Uncertainty on N_F560W
#  53- 61  F8.6     1 / deg2 N_F770W       N(>S) for F770W
#  63- 81  F18.6    1 / deg2 e_F770W       Uncertainty on N_F770W
#  83- 91  F8.6     1 / deg2 N_F1000W      N(>S) for F1000W
#  93-111  F18.6    1 / deg2 e_F1000W      Uncertainty on N_F1000W
# 113-121  F8.6     1 / deg2 N_F1280W      N(>S) for F1280W
# 123-141  F18.6    1 / deg2 e_F1280W      Uncertainty on N_F1280W
# 143-151  F8.6     1 / deg2 N_F1500W      N(>S) for F1500W
# 153-171  F18.6    1 / deg2 e_F1500W      Uncertainty on N_F1500W
# 173-181  F8.6     1 / deg2 N_F1800W      N(>S) for F1800W
# 183-201  F18.6    1 / deg2 e_F1800W      Uncertainty on N_F1800W
# 203-211  F8.6     1 / deg2 N_F2100W      N(>S) for F2100W
# 213-231  F18.6    1 / deg2 e_F2100W      Uncertainty on N_F2100W
# 233-241  F8.6     1 / deg2 N_F2550W      N(>S) for F2550W
# 243-261  F18.6    1 / deg2 e_F2550W      Uncertainty on N_F2550W
# ------------------------------------------------------------------------------
# Note: Effective area of sim = 2 deg^2, bin width (log) = 0.05
#       N(>S) = integral number counts (sources per deg^2 above flux S)
# ------------------------------------------------------------------------------
flux_uJy N_F560W e_F560W N_F770W e_F770W N_F1000W e_F1000W N_F1280W e_F1280W N_F1500W e_F1500W N_F1800W e_F1800W N_F2100W e_F2100W N_F2550W e_F2550W
1.6815863012500185 10923.0 469.8820733520645 12095.0 508.2836454345236 14034.0 562.0095847992027 17359.5 635.8737052674093 20625.0 697.3813951404164 25077.0 773.0012325489203 28530.5 825.1404865186764 37007.0 944.4034148357742
1.886770862503902 10120.5 449.85084772805436 11218.0 487.3432538431517 13097.5 540.3704997908203 16287.5 612.7220314618288 19346.5 672.0980013808754 23501.0 744.9298948536839 26776.0 795.5220800794367 34735.5 910.7025246398165
2.1169917267686102 9360.0 430.35084772805436 10407.0 467.2062232775494 12189.5 519.0632240381578 15241.0 589.847372994433 18070.5 646.8393395002453 22041.0 717.9113826814713 25120.5 766.7514353178051 32636.5 878.3065372339663
2.375303785038961 8644.0 411.42995979962984 9634.0 447.5466200262119 11355.5 498.64264618149565 14242.5 567.5034700229287 16944.0 623.1064509276337 20631.5 691.3642547765547 23499.5 738.2821536268316 30597.0 846.3730125302948
2.665134681387019 7970.5 393.07921049612725 8938.0 428.8918619200343 10590.0 479.0786486349818 13306.0 545.8643850145463 15854.0 599.7612158677762 19359.0 666.1402582652959 21989.5 710.8048902987634 28637.0 815.0680608452977
2.9903302957164173 7337.0 375.28173876556957 8283.0 410.7949008491804 9832.0 459.61072630105 12432.5 524.9658204705399 14839.5 577.2390046086657 18158.5 641.6402582652959 20625.5 684.6897605843623 26766.0 784.4821163609435
3.355205776252068 6796.0 358.8348545621711 7648.5 392.98338771862353 9152.5 441.17841770988326 11588.0 504.41709788250546 13872.0 555.244687160743 17020.5 617.7865373815428 19319.5 659.135895906001 25049.5 755.1862122103629
3.764602798935365 6252.5 342.35001304033653 7101.5 376.4455523100823 8484.0 422.89591241110105 10819.5 484.8148020985928 12936.5 533.6171584068608 15930.0 594.4359485238715 18059.0 634.0311154847346 23463.0 727.0215179993476
4.223953813522304 5754.5 326.57027920227705 6595.0 360.53172184724275 7900.0 405.807904920466 10140.0 466.38249350742603 12083.0 512.9592301467471 14922.5 571.9915728364081 16864.0 609.587302361574 21856.5 698.6798525578108
4.739354128891179 5316.0 311.7631863073162 6104.5 344.8712620838769 7345.0 389.14957367150834 9472.5 448.11366760098093 11313.0 493.3378132763986 13961.5 550.0712626196251 15788.5 586.3978651109635 20409.0 671.7772504531816
